transaction_id,client_id,transaction_date,product_type,amount,revenue,status
1,119,2024-01-08,card,8165.15,122.48,success
2,1698,2023-06-27,card,6527.26,97.91,success
3,710,2024-12-04,credit,60415.89,0.0,declined
4,1522,2024-09-13,card,2260.67,22.61,success
5,1510,2024-12-11,credit,26874.94,0.0,declined
6,45,2024-11-11,investment,157606.12,4728.18,success
7,314,2024-11-10,card,5190.62,51.91,success
8,1203,2024-05-07,card,3381.74,33.82,success
9,1918,2024-09-12,investment,105980.63,2119.61,success
10,418,2024-05-09,credit,79492.62,3974.63,success
11,556,2024-12-30,card,2506.91,25.07,success
12,1807,2024-11-26,card,889.78,8.9,success
13,1102,2024-11-15,card,1961.78,19.62,success
14,326,2024-03-22,credit,75803.61,3790.18,success
15,1714,2024-12-30,card,5676.84,56.77,success
16,1381,2023-09-30,card,2751.86,27.52,success
17,1440,2024-10-09,investment,123817.73,3714.53,success
18,1987,2023-11-21,credit,2826.42,0.0,declined
19,515,2024-10-13,card,3678.59,36.79,success
20,214,2024-10-16,card,3345.41,33.45,success
21,1878,2023-02-01,card,4926.12,49.26,success
22,74,2024-12-05,investment,74894.82,1497.9,success
23,1587,2024-12-20,credit,38721.41,1936.07,success
24,1603,2024-02-05,card,2484.91,0.0,declined
25,509,2024-01-17,card,3698.39,36.98,success
26,332,2024-11-02,card,1312.43,13.12,success
27,1117,2024-06-21,card,3713.06,37.13,success
28,688,2023-05-22,credit,89244.16,6693.31,success
29,657,2024-12-12,credit,92751.01,6956.33,success
30,1543,2024-10-29,card,1713.78,17.14,success
31,1293,2024-09-22,card,896.97,8.97,success
32,1400,2023-04-17,card,2709.6,27.1,success
33,1858,2024-11-26,credit,14136.93,706.85,success
34,1028,2024-04-15,credit,49033.61,2451.68,success
35,1162,2024-03-21,investment,63964.05,1279.28,success
36,1255,2024-10-12,card,1616.46,16.16,success
37,600,2024-12-25,card,4753.33,0.0,declined
38,1553,2023-11-24,card,4479.3,0.0,declined
39,1076,2024-12-09,credit,45584.22,2279.21,success
40,1670,2024-08-19,card,2391.74,23.92,success
41,1747,2024-10-28,card,2393.08,35.9,success
42,325,2024-11-17,card,4686.79,70.3,success
43,992,2024-10-23,card,2334.71,23.35,success
44,1994,2024-03-06,card,2803.34,28.03,success
45,1929,2023-09-08,credit,100.0,5.0,success
46,1755,2024-06-05,card,2740.48,27.4,success
47,717,2024-12-13,card,2765.54,27.66,success
48,723,2023-06-07,card,3949.81,39.5,success
49,277,2024-12-18,investment,61732.52,1234.65,success
50,536,2024-11-19,credit,50158.14,2507.91,success
51,1510,2024-12-21,credit,50063.96,2503.2,success
52,1540,2024-10-04,card,2212.71,22.13,success
53,152,2024-07-06,credit,53422.03,0.0,declined
54,955,2023-06-26,card,100.0,1.0,success
55,1507,2024-02-29,credit,58941.24,4420.59,success
56,259,2024-12-28,card,699.91,7.0,success
57,324,2024-10-07,card,3736.59,56.05,success
58,1017,2024-05-09,card,6509.41,65.09,success
59,869,2024-11-01,investment,96539.17,2896.18,success
60,1192,2024-08-12,card,4210.96,63.16,success
61,688,2023-03-13,card,3434.42,51.52,success
62,310,2024-03-29,card,3161.38,31.61,success
63,803,2024-06-24,investment,46350.61,927.01,success
64,1503,2024-08-18,card,823.17,8.23,success
65,1080,2024-09-26,card,1919.31,28.79,success
66,620,2023-12-23,card,2347.77,23.48,success
67,473,2024-06-10,card,656.52,6.57,success
68,1320,2024-12-08,card,3412.92,34.13,success
69,461,2024-10-28,card,2882.72,43.24,success
70,1348,2024-11-07,card,2322.61,0.0,declined
71,814,2024-08-20,credit,57010.0,2850.5,success
72,846,2024-11-24,card,5074.74,50.75,success
73,1165,2024-02-08,card,869.76,8.7,success
74,667,2024-06-23,card,3811.78,38.12,success
75,262,2023-10-30,card,2386.96,23.87,success
76,1809,2024-11-28,card,4455.7,44.56,success
77,1444,2024-06-15,card,3327.85,33.28,success
78,1768,2023-04-28,card,5503.21,55.03,success
79,1265,2024-12-18,card,4530.01,0.0,declined
80,355,2023-11-07,investment,138724.68,0.0,declined
81,1873,2023-09-29,card,1926.73,19.27,success
82,770,2024-12-25,credit,49108.66,2455.43,success
83,1785,2023-06-25,card,3437.96,34.38,success
84,1613,2024-10-17,card,3040.24,30.4,success
85,180,2024-11-23,credit,47083.11,2354.16,success
86,66,2024-03-29,credit,30692.08,1534.6,success
87,820,2024-04-29,credit,36381.21,2728.59,success
88,1372,2024-12-20,investment,126577.03,0.0,declined
89,171,2024-09-12,credit,32366.52,0.0,declined
90,474,2024-11-16,card,2629.27,26.29,success
91,534,2024-12-29,card,5263.86,52.64,success
92,1391,2023-05-19,card,3573.18,0.0,declined
93,1131,2024-04-15,credit,41165.99,2058.3,success
94,439,2023-05-22,card,6253.58,93.8,success
95,835,2024-10-24,card,625.32,6.25,success
96,227,2024-09-10,investment,110144.05,0.0,declined
97,1468,2023-12-07,card,6073.22,60.73,success
98,442,2024-10-22,card,6532.47,97.99,success
99,396,2024-08-25,investment,157692.23,4730.77,success
100,728,2023-10-18,card,3740.31,0.0,declined
101,1605,2024-09-08,card,1659.63,0.0,declined
102,84,2024-12-29,card,5380.35,53.8,success
103,1639,2024-09-10,card,3594.7,35.95,success
104,1575,2024-04-05,credit,95824.96,7186.87,success
105,1037,2024-10-06,card,2500.16,25.0,success
106,1833,2023-10-25,credit,27698.3,1384.91,success
107,1849,2024-05-26,investment,74480.34,1489.61,success
108,693,2024-09-03,investment,162265.63,4867.97,success
109,493,2024-04-28,card,7926.18,0.0,declined
110,1292,2024-07-27,credit,65666.08,3283.3,success
111,1549,2024-10-11,card,2932.9,29.33,success
112,1144,2024-03-10,card,3655.89,36.56,success
113,970,2024-10-19,investment,27040.69,540.81,success
114,353,2024-12-03,card,1463.78,14.64,success
115,1081,2023-10-18,investment,83791.03,0.0,declined
116,40,2024-12-04,card,1174.5,11.75,success
117,1910,2024-11-10,credit,43403.95,2170.2,success
118,1360,2024-01-10,credit,44859.13,3364.43,success
119,640,2024-12-28,card,4789.86,47.9,success
120,173,2024-01-20,card,2578.18,25.78,success
121,1571,2024-10-05,card,4416.72,0.0,declined
122,259,2024-11-22,card,3618.16,36.18,success
123,1912,2024-12-11,card,2764.12,27.64,success
124,517,2024-07-21,credit,23591.28,1179.56,success
125,730,2024-02-02,card,3399.13,33.99,success
126,523,2024-04-04,card,5685.08,0.0,declined
127,1918,2024-03-24,credit,54385.26,2719.26,success
128,839,2024-06-12,credit,80357.39,4017.87,success
129,117,2023-12-21,investment,75385.74,1507.71,success
130,184,2024-05-10,investment,89564.81,1791.3,success
131,1930,2024-09-09,investment,51197.95,1023.96,success
132,1898,2024-11-04,investment,87855.04,0.0,declined
133,1140,2024-11-26,credit,65688.43,0.0,declined
134,162,2024-08-21,card,1090.03,10.9,success
135,1603,2023-04-03,investment,31673.05,633.46,success
136,1736,2024-11-07,card,4574.87,45.75,success
137,543,2024-01-22,card,3011.36,30.11,success
138,1611,2024-12-25,card,5610.78,56.11,success
139,1261,2024-05-12,card,3404.31,34.04,success
140,839,2024-06-09,card,2621.82,26.22,success
141,1090,2024-05-07,credit,78031.48,3901.57,success
142,1094,2024-10-07,card,1491.63,14.92,success
143,1833,2023-07-04,card,1145.17,11.45,success
144,447,2024-10-28,card,3588.66,35.89,success
145,416,2024-10-10,card,5147.38,0.0,declined
146,532,2024-01-23,card,1915.83,19.16,success
147,441,2024-08-17,investment,144133.55,0.0,declined
148,738,2024-12-23,credit,69017.74,3450.89,success
149,1970,2024-05-15,card,1477.63,14.78,success
150,464,2024-12-08,card,2101.05,21.01,success
151,1945,2024-11-27,card,4883.56,48.84,success
152,396,2024-11-22,credit,109832.51,8237.44,success
153,711,2024-08-23,credit,42814.18,2140.71,success
154,1575,2023-05-18,credit,77626.67,5822.0,success
155,1681,2024-12-18,card,3015.73,30.16,success
156,1581,2024-04-15,card,899.92,9.0,success
157,395,2024-11-19,credit,37770.52,0.0,declined
158,326,2024-10-19,card,1670.18,16.7,success
159,1917,2024-10-23,credit,65380.45,3269.02,success
160,1943,2024-11-22,investment,122409.15,3672.27,success
161,1115,2024-10-29,card,1001.64,10.02,success
162,750,2024-10-28,credit,84381.52,4219.08,success
163,1094,2024-10-19,card,2942.58,29.43,success
164,1190,2023-10-30,investment,114052.78,0.0,declined
165,642,2024-11-17,card,3875.8,58.14,success
166,214,2024-11-01,credit,44537.1,2226.86,success
167,1876,2024-12-30,credit,68786.13,3439.31,success
168,1625,2024-12-06,card,2537.3,25.37,success
169,1359,2024-09-30,card,2570.37,25.7,success
170,1788,2024-09-19,card,2893.44,0.0,declined
171,369,2024-06-15,card,2122.56,31.84,success
172,1885,2024-09-20,card,2806.83,28.07,success
173,1608,2024-11-21,credit,29090.14,1454.51,success
174,1701,2023-11-23,card,4611.82,0.0,declined
175,49,2023-12-06,credit,35535.28,2665.15,success
176,1076,2024-08-20,card,100.0,1.0,success
177,1313,2024-08-12,card,1767.11,17.67,success
178,1814,2024-07-26,credit,29785.59,1489.28,success
179,1650,2023-11-22,investment,108268.46,3248.05,success
180,1263,2023-10-18,card,8979.66,134.69,success
181,133,2024-11-17,investment,207871.0,6236.13,success
182,999,2024-06-06,card,2324.14,23.24,success
183,786,2024-05-22,credit,31240.93,1562.05,success
184,1190,2023-12-08,investment,187258.81,5617.76,success
185,1398,2024-12-11,credit,72305.01,3615.25,success
186,373,2024-11-07,card,2559.01,25.59,success
187,1829,2024-09-07,investment,114394.16,2287.88,success
188,1502,2024-12-07,card,4186.03,41.86,success
189,1779,2024-12-30,card,1479.14,14.79,success
190,479,2024-09-01,credit,64525.44,3226.27,success
191,832,2023-12-20,card,4221.8,42.22,success
192,650,2024-04-18,card,146.06,1.46,success
193,1615,2024-12-21,card,1802.29,18.02,success
194,682,2024-12-30,card,468.02,7.02,success
195,1659,2024-09-01,card,3425.15,34.25,success
196,688,2024-06-18,card,4191.89,62.88,success
197,1324,2024-02-12,card,2048.78,20.49,success
198,82,2024-06-10,card,2566.43,0.0,declined
199,87,2024-07-22,card,2725.31,27.25,success
200,225,2024-11-05,card,5102.63,51.03,success
201,16,2024-12-25,credit,82316.82,6173.76,success
202,822,2024-06-17,card,3257.31,48.86,success
203,1382,2024-03-30,credit,43538.31,2176.92,success
204,163,2024-12-30,card,655.82,6.56,success
205,1634,2024-08-22,investment,161367.77,0.0,declined
206,1692,2024-11-11,investment,114013.92,2280.28,success
207,514,2024-12-07,card,3674.2,36.74,success
208,350,2024-12-06,credit,86874.45,6515.58,success
209,1933,2024-11-09,card,1071.83,0.0,declined
210,681,2024-03-09,card,2332.85,0.0,declined
211,1488,2024-11-14,credit,55463.01,2773.15,success
212,1851,2024-07-15,credit,16922.79,1269.21,success
213,1861,2024-11-29,card,5011.0,50.11,success
214,1399,2024-08-17,credit,52867.79,2643.39,success
215,1116,2024-12-24,card,6597.67,0.0,declined
216,181,2024-10-05,investment,95932.55,1918.65,success
217,743,2024-12-09,credit,40706.26,0.0,declined
218,1325,2024-11-16,card,3432.14,34.32,success
219,660,2023-10-24,credit,153809.55,11535.72,success
220,1816,2024-11-23,card,3773.19,37.73,success
221,1213,2024-02-08,card,995.44,9.95,success
222,1883,2024-09-07,credit,19826.72,991.34,success
223,1886,2024-12-23,card,3676.98,36.77,success
224,1338,2024-04-28,card,1294.96,12.95,success
225,493,2024-08-05,credit,93347.21,0.0,declined
226,923,2024-11-17,card,4650.99,0.0,declined
227,1946,2024-11-22,card,222.62,2.23,success
228,128,2024-12-26,credit,108639.28,8147.95,success
229,1543,2024-10-18,credit,67441.8,3372.09,success
230,1450,2023-11-08,card,4467.15,67.01,success
231,1583,2024-12-23,card,3472.14,34.72,success
232,565,2024-04-03,investment,73075.54,2192.27,success
233,1211,2023-04-26,card,3733.24,37.33,success
234,550,2024-11-04,card,7116.89,0.0,declined
235,453,2023-11-11,card,2178.58,0.0,declined
236,471,2023-10-07,card,1919.67,19.2,success
237,988,2024-11-10,card,2829.19,28.29,success
238,738,2024-07-26,credit,50300.68,2515.03,success
239,1589,2024-07-20,credit,53029.69,2651.48,success
240,1935,2024-08-11,credit,83187.45,4159.37,success
241,224,2024-12-30,card,813.99,12.21,success
242,154,2024-10-08,credit,65685.7,3284.28,success
243,560,2023-06-29,card,2877.55,0.0,declined
244,351,2024-03-25,investment,69001.92,1380.04,success
245,1171,2024-10-14,card,4864.51,48.65,success
246,1929,2024-05-09,card,3095.01,30.95,success
247,1600,2024-10-03,card,1930.61,19.31,success
248,349,2024-04-19,card,1215.36,0.0,declined
249,182,2024-02-26,card,3367.92,33.68,success
250,637,2023-09-20,credit,27560.64,1378.03,success
251,1018,2024-12-09,card,5547.02,55.47,success
252,179,2024-10-27,credit,84200.17,6315.01,success
253,1063,2024-04-28,card,2223.05,22.23,success
254,772,2023-12-25,card,321.39,3.21,success
255,894,2023-08-03,credit,131378.96,9853.42,success
256,1027,2023-04-14,card,4557.53,45.58,success
257,1016,2023-12-13,card,4873.05,48.73,success
258,64,2024-10-14,card,3255.74,32.56,success
259,29,2024-07-12,card,4834.66,48.35,success
260,372,2024-02-28,credit,51741.09,2587.05,success
261,1547,2023-09-16,credit,47589.98,2379.5,success
262,97,2023-11-14,credit,34708.46,2603.13,success
263,1894,2024-07-19,credit,10393.22,519.66,success
264,1466,2024-06-09,card,1763.05,17.63,success
265,1227,2024-01-02,credit,55824.38,2791.22,success
266,1435,2024-05-24,investment,103176.25,2063.53,success
267,993,2024-05-24,investment,28093.34,561.87,success
268,21,2024-01-01,credit,47883.82,3591.29,success
269,1575,2023-12-05,credit,92559.0,6941.93,success
270,735,2024-12-09,card,1161.32,0.0,declined
271,1126,2023-04-12,card,663.15,6.63,success
272,1070,2023-05-31,card,4061.57,0.0,declined
